lbp_code;h_lbp_before;h_lbp_after;delta
239;0.0073865381;0.0081689840;0.0007824459
240;0.0145358312;0.0138979174;-0.0006379138
241;0.0147288441;0.0142511675;-0.0004776767
242;0.0002952855;0.0003100043;0.0000147188
243;0.0114681092;0.0116523212;0.0001842120
244;0.0003318548;0.0003242678;-0.0000075870
245;0.0001993860;0.0001926336;-0.0000067524
246;0.0003089421;0.0003027966;-0.0000061455
247;0.0066744995;0.0065385407;-0.0001359588
248;0.0328845783;0.0328021836;-0.0000823947
249;0.0100991134;0.0102447835;0.0001456701
250;0.0005840462;0.0006329064;0.0000488602
251;0.0073358571;0.0081487268;0.0008128697
252;0.0104367342;0.0105404483;0.0001037141
253;0.0092732699;0.0090935342;-0.0001797357
254;0.0070656845;0.0077791647;0.0007134802
255;0.2502667584;0.2657405688;0.0154738103
